,Вихідна функція,alpha = 1,,alpha = 10,,alpha = 100,
,Значення,Значення,Похибка %,Значення,Похибка %,Значення,Похибка %
а_1,0.8,1.0550,24.17,3.2985,75.75,26.4136,96.97
а_2,-4,-4.0037,0.09,-3.9334,1.69,-4.1374,3.32
